ticker,trades,win_rate,avg_profit,total_profit,best_trade,worst_trade,avg_hold_days
ABNB,20,50.0,1.93,38.68,34.33,-25.54,44.7
A,42,47.6,1.04,43.57,28.84,-14.75,53.5
ABT,42,47.6,0.69,29.09,18.15,-13.44,57.4
ABBV,38,55.3,2.47,93.69,44.28,-27.07,64.6
AAPL,48,47.9,2.52,121.07,49.12,-20.87,50.0
ACGL,41,51.2,0.46,18.89,19.79,-10.03,58.3
ADBE,44,47.7,1.54,67.81,142.63,-69.63,54.5
ADM,42,35.7,0.67,28.23,21.97,-5.49,45.0
ACN,42,47.6,1.62,67.87,44.09,-27.65,56.0
ADI,52,40.4,-0.55,-28.45,63.79,-60.51,43.0
ADP,43,48.8,2.8,120.32,52.9,-31.85,48.3
ADSK,49,42.9,-1.13,-55.35,43.42,-38.28,44.7
AEE,43,41.9,-0.12,-5.0,12.0,-14.67,55.0
AIG,47,36.2,-0.45,-21.23,9.81,-6.3,46.3
AEP,40,52.5,0.43,17.39,13.65,-12.91,60.3
AES,41,34.1,0.12,4.87,9.8,-2.02,48.6
AFL,44,36.4,0.0,0.07,19.96,-8.3,53.1
ALB,53,34.0,-1.72,-90.99,68.38,-39.98,40.5
AJG,41,58.5,2.39,97.81,28.21,-29.57,57.4
AIZ,44,43.2,-0.02,-1.07,20.8,-27.68,51.4
ALGN,38,44.7,4.27,162.25,210.02,-110.37,65.1
AKAM,49,40.8,-0.99,-48.43,19.87,-20.97,45.9
ALL,48,37.5,-1.04,-50.15,31.2,-18.9,51.7
ALLE,40,45.0,1.67,66.86,29.96,-11.4,52.8
AMAT,43,60.5,8.58,368.83,168.78,-30.17,54.3
AMGN,42,52.4,2.55,107.1,47.57,-18.21,53.0
AMD,41,58.5,9.56,391.92,234.35,-27.73,60.4
AME,42,50.0,2.35,98.68,23.66,-7.92,62.9
AMT,34,41.2,2.01,68.3,59.34,-33.83,63.4
AMZN,47,51.1,1.05,49.25,56.91,-23.16,52.2
ANET,51,45.1,0.25,12.81,38.83,-18.52,47.0
AMP,41,51.2,5.78,237.16,114.95,-24.98,53.7
AMCR,249,6.8,-0.18,-46.0,7.7,-5.9,7.8
AON,39,46.2,3.56,139.03,74.2,-46.55,61.2
AOS,48,45.8,0.05,2.28,14.0,-5.95,45.2
APA,45,37.8,-0.13,-5.72,12.06,-6.25,42.1
APD,46,39.1,-1.68,-77.39,56.82,-38.74,46.3
APH,46,50.0,0.56,25.83,29.05,-5.17,54.2
APTV,51,39.2,-1.33,-68.06,43.43,-16.88,39.4
APO,46,50.0,0.43,19.61,45.29,-24.95,47.5
ARE,48,35.4,-1.58,-75.63,27.81,-15.14,44.5
AVGO,43,60.5,5.8,249.21,154.83,-55.68,58.8
ATO,40,50.0,0.47,18.72,21.38,-18.22,64.8
AWK,40,55.0,0.6,24.08,16.52,-22.34,56.8
AVY,40,40.0,0.01,0.58,44.68,-21.35,56.8
AXON,47,51.1,3.56,167.27,150.44,-117.29,49.1
AZO,44,50.0,6.58,289.31,414.24,-451.3,54.1
AXP,50,48.0,0.44,22.01,40.63,-19.42,47.2
BA,46,37.0,3.28,151.1,143.63,-37.93,43.5
BALL,42,35.7,-0.22,-9.12,21.6,-12.97,47.0
BAC,47,53.2,0.62,29.32,7.52,-3.07,50.8
BAX,37,54.1,0.49,18.2,10.98,-12.66,55.6
BBY,46,41.3,-0.0,-0.1,40.36,-14.82,41.8
BEN,38,47.4,0.27,10.45,7.43,-3.24,49.7
BDX,44,36.4,-1.28,-56.19,20.5,-14.28,47.6
BG,39,43.6,1.03,40.08,25.06,-12.51,56.0
BIIB,44,27.3,-12.65,-556.44,55.84,-119.37,40.5
BKR,47,40.4,-0.42,-19.51,11.12,-20.43,43.7
BKNG,52,42.3,0.48,24.8,49.65,-16.17,44.6
BLDR,35,54.3,4.15,145.1,65.89,-38.26,74.4
BLK,41,58.5,18.71,767.01,181.81,-56.05,58.4
CARR,22,40.9,0.39,8.66,14.23,-5.2,43.2
BMY,39,38.5,-0.09,-3.59,18.76,-12.0,55.5
BR,38,47.4,2.45,93.22,25.47,-21.94,63.7
BRO,44,45.5,0.38,16.6,9.46,-9.46,55.0
BSX,37,40.5,0.7,25.75,20.55,-7.32,65.4
BXP,39,35.9,-0.84,-32.68,20.7,-18.57,47.5
BX,47,44.7,0.44,20.58,32.74,-20.78,46.9
C,49,38.8,0.34,16.76,30.55,-12.62,45.2
CAH,47,44.7,1.33,62.68,42.75,-8.46,44.5
CAG,40,35.0,-0.25,-10.08,3.38,-3.19,49.0
CAT,45,51.1,12.03,541.5,142.72,-36.1,54.0
CEG,16,43.8,6.24,99.84,82.33,-40.97,56.6
CB,43,48.8,0.54,23.13,21.65,-19.45,54.6
CBOE,32,50.0,4.08,130.7,64.34,-13.31,77.8
CCI,42,45.2,-1.44,-60.33,17.29,-27.74,49.5
CBRE,43,46.5,1.62,69.82,38.74,-12.72,54.8
CCL,49,38.8,-0.34,-16.76,7.34,-6.64,44.8
CDW,49,51.0,-0.45,-22.15,33.73,-32.81,45.4
CDNS,53,37.7,-3.2,-169.38,34.04,-40.88,44.2
CF,44,38.6,0.21,9.24,38.05,-16.68,49.5
CFG,37,48.6,1.06,39.12,12.44,-4.89,56.4
CHD,39,48.7,0.07,2.8,19.25,-11.55,57.0
CHRW,41,43.9,-0.63,-25.72,27.0,-20.37,51.4
