total_profit,num_trades,win_rate,winning_trades,losing_trades,avg_win,avg_loss,best_trade,worst_trade,profit_factor,risk_reward,max_drawdown,sharpe_ratio,expectancy,max_consecutive_wins,max_consecutive_losses,ticker,strategy
-121.88,6,16.7,1,5,1.23,24.62,1.23,-43.01,-0.99,0.05,80.1,-20.2,-20.31,1,4,ABNB,MA Cross
-6.39,10,50.0,5,5,14.63,15.91,41.71,-28.86,-0.08,0.92,72.26,3.2,-0.64,4,3,A,MA Cross
74.72,5,60.0,3,2,39.71,22.21,94.67,-32.78,1.68,1.79,32.78,9.22,14.94,2,1,AAPL,MA Cross
16.07,11,54.5,6,5,13.74,13.27,33.12,-27.22,0.24,1.04,49.43,3.59,1.46,2,2,ABBV,MA Cross
14.84,8,37.5,3,5,17.08,7.28,27.01,-15.96,0.41,2.35,29.57,3.5,1.86,2,4,ABT,MA Cross
181.06,5,60.0,3,2,95.44,52.63,153.61,-84.1,1.72,1.81,84.1,9.29,36.21,2,1,ADBE,MA Cross
11.99,5,20.0,1,4,36.88,6.22,36.88,-13.56,0.48,5.93,17.29,2.73,2.4,1,3,ADM,MA Cross
52.33,6,50.0,3,3,19.59,2.15,43.46,-3.02,8.11,9.11,4.74,9.02,8.72,2,2,ACGL,MA Cross
78.08,5,60.0,3,2,50.05,36.03,102.18,-53.54,1.08,1.39,53.54,7.72,15.62,2,1,ACN,MA Cross
20.72,9,33.3,3,6,48.46,20.78,62.75,-39.89,0.17,2.33,80.52,2.39,2.3,1,3,ADP,MA Cross
61.78,6,66.7,4,2,24.18,17.46,39.93,-24.95,1.77,1.38,24.95,7.44,10.3,2,1,ADI,MA Cross
36.09,11,36.4,4,7,38.82,17.03,84.19,-39.67,0.3,2.28,72.64,3.29,3.28,2,3,ADSK,MA Cross
-0.23,7,42.9,3,4,7.77,5.88,14.92,-7.4,-0.01,1.32,23.53,2.57,-0.03,3,4,AEE,MA Cross
-5.5,6,33.3,2,4,7.48,5.11,7.85,-10.04,-0.27,1.46,17.38,0.09,-0.92,1,3,AEP,MA Cross
63.42,8,87.5,7,1,9.65,4.13,38.22,-4.13,15.36,2.34,0.0,11.63,7.93,7,1,AFL,MA Cross
-4.22,7,42.9,3,4,3.4,3.61,6.68,-6.03,-0.29,0.94,8.4,-0.52,-0.6,2,3,AES,MA Cross
0.53,8,37.5,3,5,8.7,5.12,12.5,-11.15,0.02,1.7,11.15,2.23,0.07,1,2,AIG,MA Cross
50.81,8,50.0,4,4,22.24,9.54,38.31,-15.34,1.33,2.33,22.81,5.25,6.35,2,3,AIZ,MA Cross
-21.59,9,33.3,3,6,16.71,11.95,32.61,-23.41,-0.3,1.4,61.62,0.3,-2.4,2,4,AKAM,MA Cross
218.3,3,100.0,3,0,72.77,0.0,112.14,38.46,218.3,0.0,0.0,121.31,72.77,3,0,AJG,MA Cross
-19.49,7,28.6,2,5,185.06,77.92,226.42,-132.86,-0.05,2.37,221.79,4.45,-2.78,1,3,ALGN,MA Cross
-36.84,7,28.6,2,5,18.42,14.74,29.24,-26.51,-0.5,1.25,66.08,-1.05,-5.26,1,3,ALL,MA Cross
149.67,6,66.7,4,2,48.82,22.82,96.03,-24.39,3.28,2.14,45.63,10.43,24.95,3,2,ALB,MA Cross
46.11,8,87.5,7,1,7.19,4.21,19.02,-4.21,10.95,1.71,4.21,17.11,5.76,5,1,ALLE,MA Cross
190.76,5,80.0,4,1,47.77,0.33,88.74,-0.33,578.06,144.77,0.0,19.15,38.15,4,1,AMAT,MA Cross
141.16,4,100.0,4,0,35.29,0.0,65.76,8.94,141.16,0.0,0.0,18.75,35.29,4,0,AMD,MA Cross
-37.08,8,12.5,1,7,6.6,6.24,6.6,-14.2,-0.85,1.06,35.23,-11.57,-4.64,1,4,AMCR,MA Cross
11.64,8,50.0,4,4,22.6,19.69,47.34,-38.75,0.15,1.15,38.75,3.45,1.46,2,1,AME,MA Cross
