total_profit,num_trades,win_rate,winning_trades,losing_trades,avg_win,avg_loss,best_trade,worst_trade,profit_factor,risk_reward,max_drawdown,sharpe_ratio,expectancy,max_consecutive_wins,max_consecutive_losses,ticker,strategy
8.54,57,35.1,20,37,11.97,6.24,36.75,-15.43,0.04,1.92,94.33,0.73,0.15,4,6,ABNB,MACD
90.33,106,48.1,51,55,5.88,3.81,24.0,-13.19,0.43,1.54,36.12,2.5,0.85,4,5,A,MACD
209.93,102,49.0,50,52,7.74,3.41,56.47,-20.56,1.18,2.27,41.11,5.05,2.06,6,6,AAPL,MACD
46.16,116,36.2,42,74,8.23,4.05,36.74,-27.07,0.15,2.03,46.15,1.29,0.4,4,7,ABBV,MACD
6.28,125,32.8,41,83,4.93,2.36,17.72,-8.21,0.03,2.09,56.48,1.05,0.05,3,11,ABT,MACD
318.88,112,41.1,46,66,24.92,12.54,119.08,-59.23,0.39,1.99,194.45,2.3,2.85,5,7,ADBE,MACD
22.91,115,37.4,43,72,3.24,1.62,15.2,-5.05,0.2,2.0,25.74,1.13,0.2,5,8,ADM,MACD
16.54,119,39.5,47,71,2.69,1.55,13.08,-6.34,0.15,1.74,38.57,1.99,0.14,5,11,ACGL,MACD
172.87,114,45.6,52,62,12.08,7.34,35.97,-30.36,0.38,1.65,120.21,2.36,1.52,5,6,ACN,MACD
77.57,126,32.5,41,85,10.88,4.34,36.82,-16.71,0.21,2.51,88.96,1.57,0.62,3,9,ADP,MACD
150.16,116,39.7,46,70,11.01,5.09,96.91,-27.2,0.42,2.16,82.5,2.23,1.29,5,6,ADI,MACD
128.92,116,38.8,45,71,15.42,7.96,47.03,-32.08,0.23,1.94,106.66,2.21,1.11,5,9,ADSK,MACD
25.19,115,38.3,44,71,3.5,1.82,11.95,-6.2,0.2,1.93,20.34,1.53,0.22,3,7,AEE,MACD
50.99,117,39.3,46,71,4.0,1.87,16.2,-11.21,0.38,2.13,17.38,1.74,0.44,4,7,AEP,MACD
-3.76,133,30.1,40,93,2.91,1.29,16.47,-6.63,-0.03,2.25,34.71,0.59,-0.03,3,12,AFL,MACD
8.43,112,33.0,37,74,1.39,0.58,4.66,-3.07,0.2,2.39,6.4,1.16,0.08,4,11,AES,MACD
8.63,116,39.7,46,69,2.95,1.84,10.72,-7.99,0.07,1.6,18.47,1.24,0.07,4,6,AIG,MACD
59.21,121,37.2,45,76,7.44,3.63,30.38,-20.16,0.21,2.05,73.87,2.14,0.49,5,8,AIZ,MACD
-54.75,111,40.5,45,66,4.88,4.16,41.45,-14.73,-0.2,1.17,67.37,-0.87,-0.49,3,7,AKAM,MACD
165.04,113,49.6,56,57,6.82,3.81,50.21,-24.06,0.76,1.79,90.43,3.9,1.46,5,8,AJG,MACD
-134.08,106,39.6,42,64,26.13,19.24,133.14,-85.75,-0.11,1.36,416.04,0.97,-1.26,4,7,ALGN,MACD
46.66,125,40.0,50,75,5.83,3.26,18.47,-15.1,0.19,1.79,41.77,1.25,0.37,9,7,ALL,MACD
106.7,114,39.5,45,69,12.15,6.38,68.89,-34.44,0.24,1.91,113.95,1.64,0.94,3,8,ALB,MACD
31.87,118,34.7,41,77,6.43,3.01,24.83,-10.11,0.14,2.14,66.37,1.25,0.27,6,12,ALLE,MACD
156.87,110,43.6,48,62,11.57,6.43,137.9,-44.64,0.39,1.8,75.95,2.78,1.43,6,6,AMAT,MACD
302.15,113,37.2,42,71,15.76,5.07,211.37,-44.93,0.84,3.11,93.53,3.54,2.67,4,9,AMD,MACD
-12.47,108,31.5,34,70,2.86,1.57,8.85,-5.05,-0.11,1.82,29.53,-0.24,-0.12,3,9,AMCR,MACD
