total_profit,num_trades,win_rate,winning_trades,losing_trades,avg_win,avg_loss,best_trade,worst_trade,profit_factor,risk_reward,max_drawdown,sharpe_ratio,expectancy,max_consecutive_wins,max_consecutive_losses,ticker,strategy
38.68,20,50.0,10,10,15.37,11.5,34.33,-25.54,0.34,1.34,67.94,2.46,1.93,3,4,ABNB,SuperTrend
43.57,42,47.6,20,22,8.68,5.91,28.84,-14.75,0.34,1.47,37.79,2.82,1.04,3,3,A,SuperTrend
121.07,48,47.9,23,25,12.97,7.09,49.12,-20.87,0.68,1.83,57.0,4.63,2.52,4,3,AAPL,SuperTrend
93.69,38,55.3,21,17,12.27,9.65,44.28,-27.07,0.57,1.27,61.64,3.58,2.47,5,5,ABBV,SuperTrend
29.09,42,47.6,20,22,6.34,4.44,18.15,-13.44,0.3,1.43,33.42,2.13,0.69,4,4,ABT,SuperTrend
67.81,44,47.7,21,23,30.57,24.96,142.63,-69.63,0.12,1.22,304.22,2.5,1.54,4,5,ADBE,SuperTrend
28.23,42,35.7,15,27,5.97,2.27,21.97,-5.49,0.46,2.63,20.39,1.57,0.67,3,8,ADM,SuperTrend
18.89,41,51.2,21,20,4.1,3.36,19.79,-10.03,0.28,1.22,39.55,3.7,0.46,5,6,ACGL,SuperTrend
67.87,42,47.6,20,22,15.06,10.6,44.09,-27.65,0.29,1.42,89.97,2.34,1.62,6,8,ACN,SuperTrend
120.32,43,48.8,21,22,15.37,9.2,52.9,-31.85,0.59,1.67,47.86,3.37,2.8,4,3,ADP,SuperTrend
-28.45,52,40.4,21,31,12.5,9.38,63.79,-60.51,-0.1,1.33,107.66,-0.47,-0.55,5,9,ADI,SuperTrend
-55.35,49,42.9,21,28,14.59,12.92,43.42,-38.28,-0.15,1.13,147.51,0.57,-1.13,5,6,ADSK,SuperTrend
-5.0,43,41.9,18,24,3.81,3.07,12.0,-14.67,-0.07,1.24,25.99,0.58,-0.12,4,7,AEE,SuperTrend
17.39,40,52.5,21,19,4.35,3.89,13.65,-12.91,0.24,1.12,42.56,1.85,0.43,5,5,AEP,SuperTrend
0.07,44,36.4,16,28,5.01,2.86,19.96,-8.3,0.0,1.75,26.78,0.91,0.0,2,5,AFL,SuperTrend
4.87,41,34.1,14,27,2.13,0.92,9.8,-2.02,0.2,2.3,8.24,0.87,0.12,2,8,AES,SuperTrend
-21.23,47,36.2,17,30,4.28,3.14,9.81,-6.3,-0.23,1.37,41.91,0.3,-0.45,3,8,AIG,SuperTrend
-1.07,44,43.2,19,25,8.52,6.52,20.8,-27.68,-0.01,1.31,67.49,1.53,-0.02,4,6,AIZ,SuperTrend
-48.43,49,40.8,20,29,6.54,6.18,19.87,-20.97,-0.27,1.06,57.99,-1.67,-0.99,5,9,AKAM,SuperTrend
97.81,41,58.5,24,17,9.93,8.26,28.21,-29.57,0.7,1.2,91.66,5.53,2.39,5,5,AJG,SuperTrend
162.25,38,44.7,17,21,50.31,33.0,210.02,-110.37,0.23,1.52,315.13,3.74,4.27,6,5,ALGN,SuperTrend
-50.15,48,37.5,18,30,8.68,6.88,31.2,-18.9,-0.24,1.26,108.99,-0.84,-1.04,3,10,ALL,SuperTrend
-90.99,53,34.0,18,35,17.34,11.52,68.38,-39.98,-0.23,1.51,171.26,0.12,-1.72,3,6,ALB,SuperTrend
66.86,40,45.0,18,22,9.16,4.45,29.96,-11.4,0.68,2.06,28.56,2.88,1.67,4,5,ALLE,SuperTrend
368.83,43,60.5,26,17,19.3,7.82,168.78,-30.17,2.78,2.47,45.94,5.24,8.58,4,3,AMAT,SuperTrend
391.92,41,58.5,24,17,22.36,8.51,234.35,-27.73,2.71,2.63,37.71,5.86,9.56,5,3,AMD,SuperTrend
-46.0,249,6.8,17,40,2.2,2.09,7.7,-5.9,-0.55,1.06,49.23,-2.03,-0.18,3,74,AMCR,SuperTrend
98.68,42,50.0,21,21,8.57,3.87,23.66,-7.92,1.21,2.21,13.35,4.58,2.35,3,3,AME,SuperTrend
107.1,42,52.4,22,20,13.79,9.81,47.57,-18.21,0.55,1.41,44.85,2.73,2.55,3,3,AMGN,SuperTrend
237.16,41,51.2,21,20,23.38,12.69,114.95,-24.98,0.93,1.84,42.08,4.66,5.78,5,3,AMP,SuperTrend
68.3,34,41.2,14,20,20.93,11.24,59.34,-33.83,0.3,1.86,91.49,3.01,2.01,5,4,AMT,SuperTrend
139.03,39,46.2,18,21,17.72,8.57,74.2,-46.55,0.77,2.07,64.98,3.73,3.56,4,5,AON,SuperTrend
12.81,51,45.1,23,28,5.2,3.81,38.83,-18.52,0.12,1.36,43.81,2.3,0.25,6,5,ANET,SuperTrend
49.25,47,51.1,24,23,10.57,8.88,56.91,-23.16,0.24,1.19,73.28,4.26,1.05,5,5,AMZN,SuperTrend
2.28,48,45.8,22,26,3.56,2.93,14.0,-5.95,0.03,1.22,25.49,0.92,0.05,4,6,AOS,SuperTrend
-5.72,45,37.8,17,28,4.07,2.67,12.06,-6.25,-0.08,1.52,38.98,2.52,-0.13,3,8,APA,SuperTrend
