total_profit,num_trades,win_rate,winning_trades,losing_trades,avg_win,avg_loss,best_trade,worst_trade,profit_factor,risk_reward,max_drawdown,sharpe_ratio,expectancy,max_consecutive_wins,max_consecutive_losses,ticker,strategy
5.14,17,70.6,12,5,5.03,11.04,10.54,-25.54,0.09,0.46,33.95,0.56,0.3,4,1,ABNB,SuperTrend+RSI
-4.8,32,62.5,20,12,3.53,6.28,8.25,-14.75,-0.06,0.56,25.48,-0.19,-0.15,4,3,A,SuperTrend+RSI
21.04,38,63.2,24,13,4.44,6.57,18.87,-20.87,0.25,0.68,55.43,0.89,0.55,7,3,AAPL,SuperTrend+RSI
22.62,34,67.6,23,11,3.47,5.2,11.16,-23.16,0.4,0.67,23.16,2.22,0.67,5,2,ABBV,SuperTrend+RSI
-20.25,34,64.7,22,12,1.6,4.62,6.43,-9.91,-0.37,0.35,30.93,-2.41,-0.6,5,4,ABT,SuperTrend+RSI
55.89,34,64.7,22,12,9.32,12.43,50.01,-32.42,0.37,0.75,96.53,0.72,1.64,8,2,ADBE,SuperTrend+RSI
9.77,30,73.3,22,8,1.38,2.56,4.99,-4.51,0.48,0.54,7.73,2.35,0.33,4,1,ADM,SuperTrend+RSI
-1.0,32,71.9,23,9,1.22,3.24,5.36,-10.03,-0.03,0.38,20.9,2.41,-0.03,6,2,ACGL,SuperTrend+RSI
120.12,34,82.4,28,6,5.77,6.92,21.16,-16.42,2.89,0.83,16.42,6.72,3.53,10,2,ACN,SuperTrend+RSI
-40.75,31,58.1,18,13,4.21,8.97,16.48,-24.13,-0.35,0.47,74.59,-1.34,-1.31,7,3,ADP,SuperTrend+RSI
-31.81,42,69.0,29,13,4.32,12.08,21.44,-60.51,-0.2,0.36,65.98,0.87,-0.76,9,4,ADI,SuperTrend+RSI
-13.74,37,62.2,23,14,7.2,12.81,24.23,-38.28,-0.08,0.56,71.41,-0.22,-0.37,9,3,ADSK,SuperTrend+RSI
-2.96,35,68.6,24,11,1.44,3.42,3.78,-14.67,-0.08,0.42,14.67,-0.19,-0.08,7,3,AEE,SuperTrend+RSI
-10.83,32,62.5,20,12,1.73,3.79,3.7,-12.91,-0.24,0.46,27.11,-1.67,-0.34,6,4,AEP,SuperTrend+RSI
15.52,36,75.0,27,8,1.39,2.76,4.32,-6.67,0.7,0.5,9.06,2.33,0.43,8,1,AFL,SuperTrend+RSI
7.78,29,72.4,21,7,0.62,0.76,2.05,-1.61,1.47,0.82,2.51,5.12,0.27,8,4,AES,SuperTrend+RSI
