date,rsi_ob,rsi_os,equity,actual_date,running_max,drawdown,daily_return
0,60,45,5000.0,2015-01-02,5000.0,0.0,
1,60,45,5000.0,2015-01-05,5000.0,0.0,0.0
2,60,45,5000.0,2015-01-06,5000.0,0.0,0.0
3,60,45,5000.0,2015-01-07,5000.0,0.0,0.0
4,60,45,5000.0,2015-01-08,5000.0,0.0,0.0
5,60,45,5000.0,2015-01-09,5000.0,0.0,0.0
6,60,45,5000.0,2015-01-12,5000.0,0.0,0.0
7,60,45,5000.0,2015-01-13,5000.0,0.0,0.0
8,60,45,5000.0,2015-01-14,5000.0,0.0,0.0
9,60,45,5000.0,2015-01-15,5000.0,0.0,0.0
10,60,45,5000.0,2015-01-16,5000.0,0.0,0.0
11,60,45,5000.0,2015-01-20,5000.0,0.0,0.0
12,60,45,5000.0,2015-01-21,5000.0,0.0,0.0
13,60,45,5000.0,2015-01-22,5000.0,0.0,0.0
14,60,45,5000.0,2015-01-23,5000.0,0.0,0.0
15,60,45,5010.122335063828,2015-01-26,5010.122335063828,0.0,0.002024467012765596
16,60,45,5044.988682994247,2015-01-27,5044.988682994247,0.0,0.006959180953806987
17,60,45,5017.870484220461,2015-01-28,5044.988682994247,-0.005375274451099754,-0.005375274451099754
18,60,45,5018.583505442896,2015-01-29,5044.988682994247,-0.005233941879861481,0.00014209637826989585
19,60,45,4980.9615254637465,2015-01-30,5044.988682994247,-0.012691239079747563,-0.007496533621159651
20,60,45,5041.241639932567,2015-02-02,5044.988682994247,-0.000742725761568308,0.012102104013583581
21,60,45,5079.038536758783,2015-02-03,5079.038536758783,0.0,0.007497537219168571
22,60,45,5124.000394027471,2015-02-04,5124.000394027471,0.0,0.008852434755767913
23,60,45,5132.645646003568,2015-02-05,5132.645646003568,0.0,0.0016872075158647082
24,60,45,5129.777220893317,2015-02-06,5132.645646003568,-0.0005588589799657706,-0.0005588589799657706
25,60,45,5121.393736553954,2015-02-09,5132.645646003568,-0.0021922240937040094,-0.0016342784449229208
26,60,45,5126.587411611288,2015-02-10,5132.645646003568,-0.001180333654437371,0.0010141136035419773
27,60,45,5115.037457451418,2015-02-11,5132.645646003568,-0.0034306261851254627,-0.0022529517654785725
28,60,45,5142.952023181793,2015-02-12,5142.952023181793,0.0,0.005457353140143617
29,60,45,5188.093437681915,2015-02-13,5188.093437681915,0.0,0.008777335331274116
30,60,45,5193.218951592761,2015-02-17,5193.218951592761,0.0,0.0009879378566350905
31,60,45,5200.48082213428,2015-02-18,5200.48082213428,0.0,0.0013983370640076043
32,60,45,5208.562397977385,2015-02-19,5208.562397977385,0.0,0.001554005508242362
33,60,45,5236.615337086855,2015-02-20,5236.615337086855,0.0,0.005385927433712467
34,60,45,5217.864734788154,2015-02-23,5236.615337086855,-0.0035806720737925346,-0.0035806720737925346
35,60,45,5211.771774029995,2015-02-24,5236.615337086855,-0.004744202401293918,-0.0011677115195295462
36,60,45,5179.73833175343,2015-02-25,5236.615337086855,-0.010861406017472652,-0.006146363207265804
37,60,45,5186.519713782351,2015-02-26,5236.615337086855,-0.00956641266921332,0.001309213244875318
38,60,45,5181.309821970062,2015-02-27,5236.615337086855,-0.010561309463597013,-0.0010045063163346413
39,60,45,5230.191522472337,2015-03-02,5236.615337086855,-0.0012267111867131364,0.009434236164570509
40,60,45,5146.654235241851,2015-03-03,5236.615337086855,-0.017179245763552675,-0.015972127764643962
41,60,45,5119.561794300202,2015-03-04,5236.615337086855,-0.022352900729151304,-0.005264088027544744
42,60,45,5132.55785916046,2015-03-05,5236.615337086855,-0.019871132635891242,0.0025385111817044503
43,60,45,5060.747490269379,2015-03-06,5236.615337086855,-0.033584259201156375,-0.013991146492954853
44,60,45,5072.026036583172,2015-03-09,5236.615337086855,-0.03143047367600704,0.002228632496578564
45,60,45,5024.402435038479,2015-03-10,5236.615337086855,-0.040524821547505696,-0.009389463145732413
46,60,45,4982.442210173011,2015-03-11,5236.615337086855,-0.048537673774457835,-0.008351286627211962
47,60,45,4997.041788345837,2015-03-12,5236.615337086855,-0.0457496938994747,0.002930205220045945
48,60,45,4981.906101566058,2015-03-13,5236.615337086855,-0.04864005070544142,-0.003028929398805169
49,60,45,5005.530144501296,2015-03-16,5236.615337086855,-0.044128731577621094,0.004741968727152601
50,60,45,4990.6211055131,2015-03-17,5236.615337086855,-0.04697580703160886,-0.0029785134756552534
51,60,45,5114.066404210427,2015-03-18,5236.615337086855,-0.023402317143386364,0.024735457989579324
52,60,45,5092.3134613147295,2015-03-19,5236.615337086855,-0.027556325313824015,-0.004253551122799015
53,60,45,5147.894013285501,2015-03-20,5236.615337086855,-0.016942493975642958,0.010914597538624893
54,60,45,5111.810656809211,2015-03-23,5236.615337086855,-0.02383308153145225,-0.007009343312657124
55,60,45,5079.943890275384,2015-03-24,5236.615337086855,-0.029918456240596858,-0.0062339489220671895
56,60,45,4953.527328748278,2015-03-25,5236.615337086855,-0.05405934752046537,-0.024885424771936338
57,60,45,4938.7727329635645,2015-03-26,5236.615337086855,-0.05687693003033922,-0.0029786038928428793
58,60,45,4957.938303362604,2015-03-27,5236.615337086855,-0.05321701438534154,0.003880634205157829
59,60,45,5019.844097055865,2015-03-30,5236.615337086855,-0.04139529563987043,0.012486196863578325
60,60,45,4990.09277911476,2015-03-31,5236.615337086855,-0.04707669784835422,-0.005926741421821147
61,60,45,4993.308701859297,2015-04-01,5236.615337086855,-0.046462575454875865,0.0006444615134204579
62,60,45,5005.779087777972,2015-04-02,5236.615337086855,-0.04408119261196264,0.0024974193792648425
63,60,45,5039.598666089137,2015-04-06,5236.615337086855,-0.037622903023333265,0.006756106835345221
64,60,45,5046.3142375020525,2015-04-07,5236.615337086855,-0.03634047707057053,0.0013325607568919207
65,60,45,5033.070777047049,2015-04-08,5236.615337086855,-0.03886948857943773,-0.0026243828330355656
66,60,45,5053.08907414632,2015-04-09,5236.615337086855,-0.03504673364888233,0.003977352591694627
67,60,45,5086.702979797346,2015-04-10,5236.615337086855,-0.028627719937303175,0.006652149835040255
68,60,45,5052.351167413233,2015-04-13,5236.615337086855,-0.03518764656411222,-0.006753256976188116
69,60,45,5042.319240999474,2015-04-14,5236.615337086855,-0.037103373759637126,-0.0019855956328735935
70,60,45,5069.772625583414,2015-04-15,5236.615337086855,-0.031860791897740603,0.005444594693789995
71,60,45,5049.631913793477,2015-04-16,5236.615337086855,-0.03570692351013838,-0.003972705144270505
72,60,45,4998.1276586187005,2015-04-17,5236.615337086855,-0.04554233280782205,-0.01019960584336621
73,60,45,5049.191071411439,2015-04-20,5236.615337086855,-0.03579110811291342,0.01021650831680665
74,60,45,5040.124482236939,2015-04-21,5236.615337086855,-0.037522491571669425,-0.0017956518274452327
75,60,45,5061.371931286711,2015-04-22,5236.615337086855,-0.03346501404428781,0.004215659578380437
76,60,45,5135.527046273235,2015-04-23,5236.615337086855,-0.019304127629480528,0.014651188648701519
77,60,45,5134.511599805135,2015-04-24,5236.615337086855,-0.019498040377073145,-0.00019772974788179187
78,60,45,5115.402425761888,2015-04-27,5236.615337086855,-0.02314718640235247,-0.0037217121184365265
79,60,45,5135.045298303163,2015-04-28,5236.615337086855,-0.019396123687823952,0.003839946676013284
80,60,45,5100.129550207004,2015-04-29,5236.615337086855,-0.026063741194284118,-0.006799501478145897
81,60,45,5096.4372339274805,2015-04-30,5236.615337086855,-0.026768837146888158,-0.000723965194055487
82,60,45,5125.093176268559,2015-05-01,5236.615337086855,-0.021296611196257254,0.005622740166466134
83,60,45,5139.160480301179,2015-05-04,5236.615337086855,-0.018610276010819438,0.002744789908944112
84,60,45,5045.306367793472,2015-05-05,5236.615337086855,-0.03653294293710874,-0.01826253779531828
85,60,45,5007.84232342409,2015-05-06,5236.615337086855,-0.04368719085447137,-0.00742552416807285
86,60,45,5024.729949620355,2015-05-07,5236.615337086855,-0.04046227836631067,0.0033722360061685386
87,60,45,5002.467654450808,2015-05-08,5236.615337086855,-0.04471355399694177,-0.004430545600013547
88,60,45,4980.2051973693,2015-05-11,5236.615337086855,-0.04896486054677396,-0.004450295058220144
89,60,45,4959.069946571087,2015-05-12,5236.615337086855,-0.05300091235461413,-0.004243851399813203
90,60,45,5000.89435000947,2015-05-13,5236.615337086855,-0.04501399700068809,0.008433920853909926
91,60,45,5047.902677539007,2015-05-14,5236.615337086855,-0.03603714372742717,0.009399984130727956
92,60,45,5034.963233504677,2015-05-15,5236.615337086855,-0.03850809933546839,-0.0025633307258288163
93,60,45,5062.116870915772,2015-05-18,5236.615337086855,-0.03332275810584118,0.005393016026493225
94,60,45,5028.875224356881,2015-05-19,5236.615337086855,-0.03967068408838692,-0.0065667481424381835
95,60,45,4934.441217673215,2015-05-20,5236.615337086855,-0.05770408937115867,-0.018778355491161025
96,60,45,4961.167003601679,2015-05-21,5236.615337086855,-0.05260045196262375,0.005416172723416768
97,60,45,4971.325353515146,2015-05-22,5236.615337086855,-0.050660582550883015,0.002047572659032104
98,60,45,4935.7525192180665,2015-05-26,5236.615337086855,-0.05745367923781075,-0.007155603740947369
99,60,45,4946.851027718551,2015-05-27,5236.615337086855,-0.05533427428135296,0.002248595013074839
100,60,45,4963.490311006429,2015-05-28,5236.615337086855,-0.05215678611069541,0.003363611152760182
101,60,45,4958.868893853416,2015-05-29,5236.615337086855,-0.053039305993391905,-0.0009310821344337139
102,60,45,4966.005906704524,2015-06-01,5236.615337086855,-0.051676400301128855,0.0014392420940900763
103,60,45,4942.244789536913,2015-06-02,5236.615337086855,-0.05621389554148559,-0.004784754109037892
104,60,45,4922.831970623379,2015-06-03,5236.615337086855,-0.05992102651519848,-0.003927935531366833
105,60,45,4878.8054379849045,2015-06-04,5236.615337086855,-0.06832846716234098,-0.008943334426443794
106,60,45,4881.787972307361,2015-06-05,5236.615337086855,-0.06775891333215356,0.0006113247106014352
107,60,45,4872.711660137653,2015-06-08,5236.615337086855,-0.06949215352366189,-0.0018592188397354992
108,60,45,4852.317929045604,2015-06-09,5236.615337086855,-0.07338660247193896,-0.00418529404456347
109,60,45,4934.534945001575,2015-06-10,5236.615337086855,-0.057686190915319124,0.01694386418165772
110,60,45,4956.085850430289,2015-06-11,5236.615337086855,-0.0535707644343848,0.004367363017774073
111,60,45,4926.8962210487325,2015-06-12,5236.615337086855,-0.05914490488629631,-0.005889653703037068
112,60,45,4896.664457316267,2015-06-15,5236.615337086855,-0.06491805448511412,-0.006136066678918306
113,60,45,4908.367404547854,2015-06-16,5236.615337086855,-0.06268322406923377,0.0023899834946012888
114,60,45,4927.686489410166,2015-06-17,5236.615337086855,-0.0589939928351787,0.003935949221000046
115,60,45,4978.1141073226845,2015-06-18,5236.615337086855,-0.04936418146534616,0.010233528050311191
116,60,45,4958.722652863051,2015-06-19,5236.615337086855,-0.05306723261792923,-0.0038953414971162337
117,60,45,4991.373701290636,2015-06-22,5236.615337086855,-0.04683208905175151,0.006584568388541268
118,60,45,4987.460432718054,2015-06-23,5236.615337086855,-0.04757937872660445,-0.0007840063290732724
119,60,45,4961.716438398188,2015-06-24,5236.615337086855,-0.05249553022193032,-0.005161744071388252
120,60,45,4984.836622040584,2015-06-25,5236.615337086855,-0.048080429597934904,0.004659714824384542
121,60,45,5001.439244878402,2015-06-26,5236.615337086855,-0.04490994221837996,0.003330625273536336
122,60,45,4951.268020662874,2015-06-29,5236.615337086855,-0.05449079186761896,-0.010031357327174306
123,60,45,4978.877498336831,2015-06-30,5236.615337086855,-0.04921840199425531,0.005576243814460424
124,60,45,4973.033941182528,2015-07-01,5236.615337086855,-0.05033430545061923,-0.001173669598469762
125,60,45,4955.664430717879,2015-07-02,5236.615337086855,-0.053651240025063496,-0.003492739174934756
126,60,45,4970.014410853007,2015-07-06,5236.615337086855,-0.05091092415089615,0.0028956722828483716
127,60,45,5046.401184189586,2015-07-07,5236.615337086855,-0.03632387346653676,0.015369527534925043
128,60,45,5024.925612392051,2015-07-08,5236.615337086855,-0.04042491400801784,-0.004255621186999181
129,60,45,4986.102166172707,2015-07-09,5236.615337086855,-0.04783875743936328,-0.007726173323561403
130,60,45,5029.301351500737,2015-07-10,5236.615337086855,-0.03958930955227424,0.008663919006936194
131,60,45,5059.036889478098,2015-07-13,5236.615337086855,-0.03391092073368618,0.005912458987665792
132,60,45,5062.713132835477,2015-07-14,5236.615337086855,-0.033208894115205445,0.0007266686204692174
133,60,45,5081.927437179518,2015-07-15,5236.615337086855,-0.029539672087770752,0.003795258360467235
134,60,45,5112.862896045453,2015-07-16,5236.615337086855,-0.023632142724893224,0.0060873476153182615
135,60,45,5075.236741924967,2015-07-17,5236.615337086855,-0.030817347613633195,-0.007359116582138059
136,60,45,5100.480075527457,2015-07-20,5236.615337086855,-0.02599680381242786,0.004973823860070059
137,60,45,5100.642691096387,2015-07-21,5236.615337086855,-0.02596575024853931,3.1882404503580375e-05
138,60,45,5097.940306233954,2015-07-22,5236.615337086855,-0.026481805885334775,-0.0005298126189372532
139,60,45,5030.601170162823,2015-07-23,5236.615337086855,-0.03934109222516202,-0.013209086812724369
140,60,45,5020.449863747584,2015-07-24,5236.615337086855,-0.04127961658904755,-0.0020179111942819628
141,60,45,4971.5726942085885,2015-07-27,5236.615337086855,-0.050613349619395676,-0.009735615505681028
142,60,45,5065.016744321508,2015-07-28,5236.615337086855,-0.03276898945585116,0.0187956720861735
143,60,45,5100.152236945489,2015-07-29,5236.615337086855,-0.02605940886566649,0.0069368956506159485
144,60,45,5144.991241043364,2015-07-30,5236.615337086855,-0.01749681619625343,0.008791699152245203
145,60,45,5135.528440586764,2015-07-31,5236.615337086855,-0.01930386136712614,-0.00183922576604445
146,60,45,5162.157758949194,2015-08-03,5236.615337086855,-0.014218645698555687,0.005185312216747784
147,60,45,5125.706896177337,2015-08-04,5236.615337086855,-0.02117941337490281,-0.0070611679212372325
148,60,45,5135.016927621958,2015-08-05,5236.615337086855,-0.01940154143943995,0.0018163409717328882
149,60,45,5118.018848825564,2015-08-06,5236.615337086855,-0.022647546292232756,-0.0033102283859977044
150,60,45,5119.389955184361,2015-08-07,5236.615337086855,-0.02238571564962555,0.0002678978720664915
151,60,45,5169.767960160852,2015-08-10,5236.615337086855,-0.012765378517030856,0.009840626601510305
152,60,45,5094.084630628154,2015-08-11,5236.615337086855,-0.027218097431993438,-0.014639598936727505
153,60,45,5082.748552361039,2015-08-12,5236.615337086855,-0.02938286943402113,-0.0022253415655790754
