start,trough,recovery,drawdown,duration_days
2021-11-16,2022-06-30,,-0.3706879049358591,1764
2016-03-04,2018-12-24,2019-04-04,-0.21640934811114954,1126
2020-02-24,2020-03-23,2020-05-11,-0.18640458721835163,77
2015-02-23,2016-02-11,2016-03-03,-0.16913425052662123,374
2021-05-10,2021-07-22,2021-11-12,-0.09964006262455138,186
2019-07-15,2019-10-22,2019-12-18,-0.09824013514054686,156
2019-04-09,2019-05-31,2019-06-18,-0.07282893304664251,70
2020-06-09,2020-07-27,2020-08-10,-0.07125971112639828,62
2020-10-26,2020-10-28,2020-11-09,-0.06377433895395312,14
2021-01-27,2021-02-26,2021-03-26,-0.04745173789872004,58
2019-12-23,2020-01-31,2020-02-19,-0.0456098838211334,58
2020-08-31,2020-09-24,2020-10-05,-0.03717341065128632,35
2020-10-13,2020-10-14,2020-10-22,-0.029563725756138526,9
2019-06-21,2019-06-25,2019-06-28,-0.02304845529932742,7
2020-05-28,2020-06-01,2020-06-03,-0.021265296451751237,6
2021-01-04,2021-01-08,2021-01-15,-0.017186174752768513,11
2021-04-28,2021-05-03,2021-05-05,-0.01650364512246183,7
2020-05-21,2020-05-22,2020-05-26,-0.01611575602169424,5
2020-05-12,2020-05-13,2020-05-14,-0.013305288955888006,2
2015-01-28,2015-01-30,2015-02-03,-0.012691239079747563,6
2019-07-08,2019-07-08,2019-07-10,-0.008787409732850415,2
2020-11-11,2020-11-12,2020-11-13,-0.008352684693775814,2
2020-12-21,2020-12-23,2020-12-28,-0.00807716535419023,7
2021-04-13,2021-04-14,2021-04-15,-0.007577812255920913,2
2021-03-29,2021-03-30,2021-04-05,-0.0074617890372131734,7
2020-05-15,2020-05-15,2020-05-18,-0.007350903998150193,3
2020-11-17,2020-11-18,2020-11-23,-0.007181017963303726,6
2021-01-19,2021-01-21,2021-01-22,-0.00712595344738387,3
2020-08-21,2020-08-27,2020-08-28,-0.005270095043247047,7
2021-04-19,2021-04-20,2021-04-21,-0.005232011741772236,2
2020-12-29,2020-12-29,2020-12-31,-0.004200206727158262,2
2021-04-06,2021-04-07,2021-04-08,-0.00416636112499158,2
2015-02-06,2015-02-11,2015-02-12,-0.0034306261851254627,6
2020-10-06,2020-10-06,2020-10-07,-0.003090737073382588,1
2020-12-02,2020-12-03,2020-12-08,-0.0027279435675954256,6
2019-07-02,2019-07-02,2019-07-03,-0.002515779011893149,1
2020-08-17,2020-08-17,2020-08-20,-0.0016636535489377158,3
2020-12-09,2020-12-10,2020-12-11,-0.001096113090551687,2
2020-05-19,2020-05-19,2020-05-20,-0.0009023949717661406,1
2020-11-27,2020-11-27,2020-12-01,-0.0005290285127003136,4
2019-06-19,2019-06-19,2019-06-20,-0.00045319173779123645,1
2020-06-04,2020-06-04,2020-06-05,-0.0004270560635489806,1
2020-12-15,2020-12-15,2020-12-16,-0.00026053111956214625,1
2021-04-26,2021-04-26,2021-04-27,-5.101776729532492e-05,1
