date,position_change,capital_change,positions,capital_deployed
2015-01-27,1,1000.0,1,1000.0
2015-01-30,1,1002.0244670127656,2,2002.0244670127656
2015-02-05,-1,-1115.163425847718,1,886.8610411650477
2015-02-09,1,1025.0931541107395,2,1911.9541952757872
2015-02-11,1,1021.4468306197616,3,2933.4010258955486
2015-02-12,1,1024.5568252811345,4,3957.957851176683
2015-02-13,1,1028.5937351478342,5,4986.551586324517
2015-02-17,-1,-1025.7052177178796,4,3960.846368606638
2015-02-18,-1,-1073.6160992910475,3,2887.2302693155907
2015-02-19,0,-5.768104886147739,3,2881.462164429443
2015-02-20,1,1042.008873163644,4,3923.471037593087
2015-02-23,1,1046.8988488138848,5,4970.369886406972
2015-03-06,0,-12.734486890295102,5,4957.635399516677
2015-03-09,-2,-1969.2837897294785,3,2988.351609787199
2015-03-11,-1,-1004.6930423445278,2,1983.658567442671
2015-03-16,-1,-1004.5053192713434,1,979.1532481713276
2015-03-17,3,3000.5719020933348,4,3979.7251502646623
2015-03-18,1,986.9641963699103,5,4966.689346634573
2015-03-19,0,-19.25170378645828,5,4947.437642848115
2015-03-23,0,-19.57368842496203,5,4927.863954423153
2015-03-24,0,-7.5711854682605235,5,4920.292768954892
2015-03-26,-1,-939.8201796239337,4,3980.4725893309587
2015-04-07,0,-30.47104924268001,4,3950.0015400882785
2015-04-08,-1,-1025.9357451741566,3,2924.065794914122
2015-04-09,2,2018.2455463388433,5,4942.311341252966
2015-04-10,0,-4.817565765624636,5,4937.493775487341
2015-04-13,0,-5.747564040206385,5,4931.746211447135
2015-04-21,0,-39.80843845405934,5,4891.937772993075
2015-04-22,0,-12.95868783081005,5,4878.979085162265
2015-04-24,0,-45.0181163813952,5,4833.96096878087
2015-04-27,0,-8.334534039495793,5,4825.626434741374
2015-04-29,-1,-1020.8797301410416,4,3804.746704600333
2015-05-04,1,1025.3261818675833,5,4830.072886467917
2015-05-06,-1,-956.0294496408276,4,3874.043436827089
2015-05-08,1,1008.6641063889696,5,4882.707543216058
2015-05-11,-1,-943.9210701651474,4,3938.786473050911
2015-05-14,-1,-1043.7675193478017,3,2895.018953703109
2015-05-15,2,2021.1491543411157,5,4916.168108044225
2015-05-18,0,-11.53100330626205,5,4904.6371047379625
2015-05-19,0,-17.802544899029954,5,4886.834559838932
2015-05-21,-1,-904.2608287449622,4,3982.5737310939703
2015-05-26,-1,-1063.2832268484767,3,2919.2905042454936
2015-05-29,1,992.9959113497076,4,3912.286415595201
2015-06-01,1,992.071350597084,5,4904.357766192285
2015-06-02,-1,-996.484000990909,4,3907.8737652013765
2015-06-04,1,984.1430624770836,5,4892.01682767846
2015-06-10,-1,-955.6246785522698,4,3936.39214912619
2015-06-11,-1,-1014.518539370556,3,2921.873609755634
2015-06-12,1,991.4019111706152,4,3913.275520926249
2015-06-17,1,982.442465182352,5,4895.717986108601
2015-06-23,0,-19.10857087097577,5,4876.6094152376245
2015-06-26,-1,-1022.1263510994796,4,3854.483064138145
2015-06-29,-1,-1004.8727996242992,3,2849.610264513846
2015-06-30,-2,-1941.6810439289388,1,907.929220584907
2015-07-02,3,2987.239651948934,4,3895.168872533841
2015-07-06,-1,-987.1451093736252,3,2908.023763160216
2015-07-08,1,973.7623829866166,4,3881.7861461468324
2015-07-10,1,998.4543498883507,5,4880.240496035183
2015-07-13,0,-15.104678694751215,5,4865.135817340432
2015-07-14,0,-28.277568194459718,5,4836.858249145973
2015-07-15,0,-7.079181063827832,5,4829.779068082145
2015-07-16,0,-8.184367074102738,5,4821.594701008043
2015-07-17,0,22.906833575982546,5,4844.501534584026
2015-07-21,0,-8.968024284008152,5,4835.533510300018
2015-07-22,-1,-1050.0129932706614,4,3785.5205170293566
2015-07-24,0,51.311622384534644,4,3836.832139413891
2015-07-27,1,1003.75316232527,5,4840.585301739161
2015-07-29,0,-78.7321663727372,5,4761.853135366424
2015-07-30,0,6.790381753886436,5,4768.64351712031
2015-07-31,0,-18.190366282469768,5,4750.45315083784
2015-08-04,0,-22.82760478024693,5,4727.625546057594
2015-08-17,0,-3.817680867912486,5,4723.807865189681
2015-08-18,0,-11.004238937121272,5,4712.80362625256
2015-08-21,-1,-965.3203752069032,4,3747.483251045657
2015-08-24,-3,-2541.7494630123274,1,1205.7337880333298
2015-08-25,-1,-921.3459335450184,0,284.3878544883114
2015-08-26,1,909.924476936716,1,1194.3123314250274
2015-08-27,-1,-958.042288215676,0,236.27004320935146
2015-08-28,4,3676.6977833579103,4,3912.967826567262
2015-09-03,1,903.506385995532,5,4816.474212562794
2015-09-11,-1,-795.8036139871392,4,4020.6705985756544
2015-09-15,0,-4.510974342994018,4,4016.1596242326605
2015-09-16,0,-69.5001046313264,4,3946.659519601334
