ticker,trades,net_pnl,gross_profit,gross_loss,wins,losses,win_rate,profit_factor,pnl_share
ENPH,7,513.6060539418752,742.0028714391191,228.3968174972439,6,1,0.8571428571428571,3.2487443545401984,0.10776297067747963
CNC,6,487.28527544842586,487.28527544842586,0.0,6,0,1.0,,0.10224043982094301
CTSH,9,452.9336069254948,452.9336069254948,0.0,9,0,1.0,,0.09503289656994765
EQT,7,434.9381915589373,519.4247612100706,84.48656965113332,6,1,0.8571428571428571,6.148015753922883,0.09125716339158667
FCX,6,418.14819847059925,429.23056216679856,11.082363696199309,5,1,0.8333333333333334,38.73095793761063,0.08773434757006907
KLAC,6,412.1675940069134,412.1675940069134,0.0,6,0,1.0,,0.08647951870170312
MRVL,4,358.6184927468355,358.6184927468355,0.0,4,0,1.0,,0.07524403932094756
SBUX,3,344.703702023486,347.88289967418996,3.179197650703941,2,1,0.6666666666666666,109.42474734062584,0.072324488094487
FANG,9,337.9780625789806,337.9780625789806,0.0,9,0,1.0,,0.07091333867231223
INTC,10,328.42221921716646,529.8424054781401,201.42018626097365,7,3,0.7,2.6305327947201893,0.06890836606715228
DECK,5,317.5439360576934,317.5439360576934,0.0,5,0,1.0,,0.06662592391107075
MTCH,6,306.3829214896191,306.3829214896191,0.0,6,0,1.0,,0.06428416007008918
ZBRA,5,303.00489553749685,303.00489553749685,0.0,5,0,1.0,,0.06357539484266936
CAG,7,302.7360153293854,346.8853996874808,44.14938435809541,5,2,0.7142857142857143,7.857083507074419,0.0635189793667222
NTAP,5,302.37045031698153,302.7425454365525,0.3720951195709858,4,1,0.8,813.6160070726145,0.06344227783368916
BBY,7,296.45829356037655,296.45829356037655,0.0,7,0,1.0,,0.06220181041646751
ADSK,8,283.42255259146384,283.42255259146384,0.0,8,0,1.0,,0.05946669824049004
DXCM,5,277.61842500870694,277.61842500870694,0.0,5,0,1.0,,0.058248897115077754
PCG,4,277.1980220006039,278.18203669462986,0.9840146940259727,3,1,0.75,282.70110028182904,0.058160689671479235
IP,7,270.42450143200773,270.42450143200773,0.0,7,0,1.0,,0.05673949400446021
KEYS,7,270.0862957718433,384.11473831432,114.02844254247668,5,2,0.7142857142857143,3.368587080115854,0.056668532912083014
DAL,3,267.8895754050345,267.8895754050345,0.0,3,0,1.0,,0.05620762496394223
HCA,5,266.4645189472192,266.4645189472192,0.0,5,0,1.0,,0.05590862475532185
MOH,5,259.0007073669833,259.0007073669833,0.0,5,0,1.0,,0.05434259471675417
SWKS,9,255.8094724820719,330.7401659873867,74.93069350531482,8,1,0.8888888888888888,4.413947749781968,0.053673021317670794
TECH,5,246.042198512406,246.042198512406,0.0,5,0,1.0,,0.05162368710458317
CTVA,7,230.26970581827663,230.26970581827663,0.0,7,0,1.0,,0.048314359547668155
KMX,4,230.17526499441442,230.17526499441442,0.0,4,0,1.0,,0.04829454431446654
CCI,6,224.57579162155616,224.57579162155616,0.0,6,0,1.0,,0.047119682997592456
FSLR,4,224.07795569693758,458.8584737752408,234.7805180783032,2,2,0.5,1.9544146061650816,0.04701522885859794
CPAY,5,215.97706128484901,215.97706128484901,0.0,5,0,1.0,,0.045315528396947906
CME,7,212.03585648076137,216.89805876991795,4.862202289156585,6,1,0.8571428571428571,44.60901580619795,0.04448859901308028
WYNN,6,210.8739776157173,210.8739776157173,0.0,6,0,1.0,,0.04424481777821443
MLM,3,210.8244181698915,210.8244181698915,0.0,3,0,1.0,,0.044234419393954096
J,4,209.62634698565762,209.62634698565762,0.0,4,0,1.0,,0.04398304441714991
AXON,6,208.72901488400203,208.72901488400203,0.0,6,0,1.0,,0.0437947694304816
MKTX,6,206.20725858516096,206.20725858516096,0.0,6,0,1.0,,0.04326566361484315
TPL,3,205.84457044184387,205.84457044184387,0.0,3,0,1.0,,0.04318956569611073
NEM,4,203.74270645674778,235.61037277775176,31.86766632100398,3,1,0.75,7.393399014676546,0.04274856017202165
EXPD,4,201.84662974834396,214.99264521593796,13.146015467593998,3,1,0.75,16.354206013671018,0.042350732192460695
MKC,8,197.43916700792784,197.43916700792784,0.0,8,0,1.0,,0.04142597424926227
EOG,4,189.13089354524004,189.13089354524004,0.0,4,0,1.0,,0.03968276226282133
LOW,6,187.53084195960923,198.67092361911568,11.14008165950645,4,2,0.6666666666666666,17.833883959870146,0.03934704520734383
CVS,7,186.75212013451232,188.15034094060093,1.3982208060886023,6,1,0.8571428571428571,134.56411184935425,0.03918365660131052
MET,3,185.92451496940566,185.92451496940566,0.0,3,0,1.0,,0.03901001146910183
AXP,4,185.78534743582668,198.43642793507752,12.651080499250838,2,2,0.5,15.68533438284804,0.03898081183890817
ALB,4,185.6981517518857,189.7853572627995,4.087205510913805,3,1,0.75,46.43401384051469,0.03896251675484594
PKG,5,184.5830846820395,198.79729273349722,14.214208051457716,4,1,0.8,13.985815601813277,0.038728557402091
HAS,7,184.11475120516093,192.63206254015086,8.517311334989927,5,2,0.7142857142857143,22.61653413428719,0.03863029336032436
