ticker,pnl,trades,wins,avg_trade,win_rate
ENPH,513.6060539418752,7,6,73.37229342026788,0.8571428571428571
CNC,487.28527544842586,6,6,81.21421257473764,1.0
CTSH,452.9336069254948,9,9,50.32595632505498,1.0
EQT,434.9381915589373,7,6,62.134027365562474,0.8571428571428571
FCX,418.14819847059925,6,5,69.69136641176654,0.8333333333333334
KLAC,412.1675940069134,6,6,68.69459900115224,1.0
MRVL,358.6184927468355,4,4,89.65462318670887,1.0
SBUX,344.703702023486,3,2,114.90123400782868,0.6666666666666666
FANG,337.9780625789806,9,9,37.55311806433118,1.0
INTC,328.42221921716646,10,7,32.84222192171664,0.7
DECK,317.5439360576934,5,5,63.508787211538674,1.0
MTCH,306.3829214896191,6,6,51.06382024826985,1.0
ZBRA,303.00489553749685,5,5,60.60097910749937,1.0
CAG,302.7360153293854,7,5,43.2480021899122,0.7142857142857143
NTAP,302.37045031698153,5,4,60.474090063396304,0.8
BBY,296.45829356037655,7,7,42.35118479433951,1.0
ADSK,283.42255259146384,8,8,35.42781907393298,1.0
DXCM,277.61842500870694,5,5,55.523685001741384,1.0
PCG,277.1980220006039,4,3,69.29950550015097,0.75
IP,270.42450143200773,7,7,38.63207163314396,1.0
KEYS,270.0862957718433,7,5,38.583756538834756,0.7142857142857143
DAL,267.8895754050345,3,3,89.2965251350115,1.0
HCA,266.4645189472192,5,5,53.292903789443834,1.0
MOH,259.0007073669833,5,5,51.800141473396664,1.0
SWKS,255.8094724820719,9,8,28.42327472023021,0.8888888888888888
TECH,246.042198512406,5,5,49.2084397024812,1.0
CTVA,230.26970581827663,7,7,32.8956722597538,1.0
KMX,230.17526499441442,4,4,57.543816248603605,1.0
CCI,224.57579162155616,6,6,37.42929860359269,1.0
FSLR,224.07795569693758,4,2,56.019488924234395,0.5
CPAY,215.97706128484901,5,5,43.1954122569698,1.0
CME,212.03585648076137,7,6,30.29083664010877,0.8571428571428571
WYNN,210.8739776157173,6,6,35.145662935952885,1.0
MLM,210.8244181698915,3,3,70.2748060566305,1.0
J,209.62634698565762,4,4,52.406586746414405,1.0
AXON,208.72901488400203,6,6,34.78816914733367,1.0
MKTX,206.20725858516096,6,6,34.36787643086016,1.0
TPL,205.84457044184387,3,3,68.61485681394795,1.0
NEM,203.74270645674778,4,3,50.935676614186946,0.75
EXPD,201.84662974834396,4,3,50.46165743708599,0.75
MKC,197.43916700792784,8,8,24.67989587599098,1.0
EOG,189.13089354524004,4,4,47.28272338631001,1.0
LOW,187.53084195960923,6,4,31.255140326601538,0.6666666666666666
CVS,186.75212013451232,7,6,26.678874304930332,0.8571428571428571
MET,185.92451496940566,3,3,61.974838323135224,1.0
AXP,185.78534743582668,4,2,46.44633685895667,0.5
ALB,185.6981517518857,4,3,46.42453793797142,0.75
PKG,184.5830846820395,5,4,36.9166169364079,0.8
HAS,184.11475120516093,7,5,26.30210731502299,0.7142857142857143
IT,180.60414727147213,5,3,36.12082945429442,0.6
T,180.54051691396035,7,7,25.79150241628005,1.0
PAYC,177.25774583932036,3,3,59.08591527977345,1.0
AMAT,176.62457418126667,5,4,35.324914836253335,0.8
MELI,173.94549351888895,5,5,34.78909870377779,1.0
JBL,172.25905737960477,3,3,57.41968579320159,1.0
WBD,170.5347095711553,7,6,24.3621013673079,0.8571428571428571
AVGO,168.32936309650609,8,7,21.04117038706326,0.875
TER,166.24507259733537,5,5,33.249014519467075,1.0
MRNA,162.6564649319248,1,1,162.6564649319248,1.0
EIX,161.4694518826218,6,6,26.9115753137703,1.0
FDS,159.827933867517,5,5,31.9655867735034,1.0
BALL,151.0588524859777,4,3,37.764713121494424,0.75
STLD,150.12430781720605,4,3,37.53107695430151,0.75
REGN,148.5679644736042,6,5,24.761327412267367,0.8333333333333334
MOS,147.18909827464995,3,3,49.06303275821665,1.0
CEG,146.3720913833056,2,2,73.1860456916528,1.0
IR,144.11519240851123,3,3,48.03839746950374,1.0
AMD,143.40943407282793,7,6,20.487062010403992,0.8571428571428571
MPWR,143.03070861490994,3,3,47.67690287163665,1.0
PLTR,142.47651455882374,2,2,71.23825727941187,1.0
FAST,137.7651056579523,6,4,22.96085094299205,0.6666666666666666
POOL,136.62160965812984,4,4,34.15540241453246,1.0
HBAN,135.65133600100796,5,5,27.130267200201594,1.0
