year,start_equity,end_equity,max_drawdown,return,trades,net_pnl,wins,losses,win_rate
2014,5000.0,4756.275220670777,-0.22641149288038942,-0.048744955865844486,,,,,
2015,4645.031367004774,4850.684812505198,-0.34951190622974115,0.044273855061830014,155.0,-95.531035711004,111.0,44.0,0.7161290322580646
2016,5353.981384219081,5468.216197879921,-0.3985354538753255,0.021336423394662685,172.0,107.2368211633059,118.0,54.0,0.686046511627907
2017,6321.732460071007,6295.158311856546,-0.5384906994217604,-0.004203617976924479,181.0,587.4658919387665,135.0,46.0,0.7458563535911602
2018,4362.719003585404,8674.996591011892,-0.5341079302905705,0.98843807815322,161.0,-1084.6403549130637,107.0,54.0,0.6645962732919255
2019,7488.128279760647,7916.474920565431,-0.5403219666462362,0.057203432526996556,183.0,1798.4571218812735,147.0,36.0,0.8032786885245902
2020,6577.259459801016,7754.330795934279,-0.5579757558347176,0.17896075764188768,164.0,2963.581058662807,121.0,43.0,0.7378048780487805
2021,8919.411282994102,10552.06435718296,-0.6831964908304391,0.18304493675515343,173.0,938.91248767722,127.0,46.0,0.7341040462427746
2022,10907.113049159452,6840.377876749068,-0.6749956409636257,-0.3728516569032705,161.0,-2043.101350671442,107.0,54.0,0.6645962732919255
2023,5561.742524831305,7761.376587883502,-0.6133277647647554,0.3954936880360018,187.0,-451.9029553278556,131.0,56.0,0.7005347593582888
2024,5864.925687196411,6236.367660285335,-0.6920961462101555,0.06333276718233805,180.0,1141.0154492232682,127.0,53.0,0.7055555555555556
2025,6087.384192828864,3756.164867983976,-0.736780411131154,-0.3829591251347566,189.0,-7.94448157116787,131.0,58.0,0.6931216931216931
