year,pnl,trades,wins,avg_trade,avg_holding_days,win_rate
2015,-95.531035711004,155,111,-0.6163292626516387,9.058064516129033,0.7161290322580646
2016,107.2368211633059,172,118,0.6234698904843367,7.8604651162790695,0.686046511627907
2017,587.4658919387665,181,135,3.2456679112639035,9.447513812154696,0.7458563535911602
2018,-1084.6403549130637,161,107,-6.736896614366855,10.236024844720497,0.6645962732919255
2019,1798.4571218812735,183,147,9.827634545799308,8.775956284153006,0.8032786885245902
2020,2963.581058662807,164,121,18.07061621135858,8.0,0.7378048780487805
2021,938.91248767722,173,127,5.427239813163122,9.07514450867052,0.7341040462427746
2022,-2043.101350671442,161,107,-12.690070501064858,9.453416149068323,0.6645962732919255
2023,-451.9029553278556,187,131,-2.4165933439992275,7.86096256684492,0.7005347593582888
2024,1141.0154492232682,180,127,6.338974717907045,9.727777777777778,0.7055555555555556
2025,-7.94448157116787,189,131,-0.042034294027343225,8.322751322751323,0.6931216931216931
2026,912.523131981219,142,98,6.426219239304359,9.32394366197183,0.6901408450704225
