ticker,entry_date,exit_date,entry_price,entry_rsi,exit_price,exit_rsi,profit,profit_pct,days_held,exit_reason
ABNB,2022-02-09,2022-02-15,169.53,58.8,180.07,76.7,10.54,6.22,6,RSI OB
ABNB,2022-03-24,2022-03-25,170.83,65.3,167.22,71.1,-3.61,-2.11,1,RSI OB
ABNB,2022-07-28,2022-08-02,108.84,63.9,116.34,73.4,7.5,6.89,5,RSI OB
ABNB,2022-10-21,2022-11-02,119.95,69.2,94.41,33.9,-25.54,-21.29,12,SuperTrend
ABNB,2023-01-11,2023-01-12,94.44,65.2,98.49,72.0,4.05,4.29,1,RSI OB
ABNB,2023-05-08,2023-05-10,125.65,60.6,113.19,44.0,-12.46,-9.92,2,SuperTrend
ABNB,2023-06-02,2023-06-12,118.06,69.1,124.59,71.5,6.53,5.53,10,RSI OB
ABNB,2023-09-05,2023-09-07,142.29,68.2,143.27,72.2,0.98,0.69,2,RSI OB
ABNB,2023-11-15,2023-12-01,128.35,64.8,135.02,75.2,6.67,5.2,16,RSI OB
ABNB,2024-01-22,2024-01-26,142.01,63.4,149.62,75.7,7.61,5.36,4,RSI OB
ABNB,2024-06-25,2024-07-24,150.91,59.0,144.23,34.0,-6.68,-4.43,29,SuperTrend
ABNB,2024-09-18,2024-09-19,122.42,63.5,128.75,75.9,6.33,5.17,1,RSI OB
ABNB,2025-02-12,2025-02-13,140.52,62.6,141.04,80.0,0.52,0.37,1,RSI OB
ABNB,2025-07-17,2025-07-31,139.3,65.8,132.41,43.8,-6.89,-4.95,14,SuperTrend
ABNB,2025-10-17,2025-10-23,125.91,58.4,127.35,70.7,1.44,1.14,6,RSI OB
ABNB,2025-12-05,2025-12-10,124.32,54.2,127.57,73.6,3.25,2.61,5,RSI OB
ABNB,2026-06-18,2026-07-01,142.41,65.2,147.31,72.9,4.9,3.44,13,RSI OB
A,2015-10-08,2015-11-02,36.01,51.9,38.59,76.8,2.58,7.16,25,RSI OB
A,2016-07-12,2016-07-18,46.53,51.6,46.8,82.4,0.27,0.58,6,RSI OB
A,2016-09-28,2016-10-03,47.18,51.0,47.14,70.9,-0.04,-0.08,5,RSI OB
A,2016-11-10,2016-11-28,47.03,59.7,43.6,35.9,-3.43,-7.29,18,SuperTrend
A,2016-12-13,2016-12-21,46.39,63.1,46.04,72.6,-0.35,-0.75,8,RSI OB
A,2017-08-16,2017-08-30,62.14,63.3,63.9,79.8,1.76,2.83,14,RSI OB
A,2017-10-06,2017-10-16,66.36,52.6,66.91,77.2,0.55,0.83,10,RSI OB
A,2018-05-11,2018-05-15,69.45,58.8,62.5,36.9,-6.95,-10.01,4,SuperTrend
