ticker,total_trades,winning_trades,losing_trades,win_rate,total_profit,avg_win,avg_loss,best_trade,worst_trade,avg_trade,profit_factor
ABNB,17,12,5,70.6,5.14,5.03,11.04,10.54,-25.54,0.3,0.09
A,32,20,12,62.5,-4.8,3.53,6.28,8.25,-14.75,-0.15,-0.06
ABT,34,22,12,64.7,-20.25,1.6,4.62,6.43,-9.91,-0.6,-0.37
ABBV,34,23,11,67.6,22.62,3.47,5.2,11.16,-23.16,0.67,0.4
AAPL,38,24,13,63.2,21.04,4.44,6.57,18.87,-20.87,0.55,0.25
ACGL,32,23,9,71.9,-1.0,1.22,3.24,5.36,-10.03,-0.03,-0.03
ACN,34,28,6,82.4,120.12,5.77,6.92,21.16,-16.42,3.53,2.89
ADBE,34,22,12,64.7,55.89,9.32,12.43,50.01,-32.42,1.64,0.37
ADI,42,29,13,69.0,-31.81,4.32,12.08,21.44,-60.51,-0.76,-0.2
ADM,30,22,8,73.3,9.77,1.38,2.56,4.99,-4.51,0.33,0.48
ADP,31,18,13,58.1,-40.75,4.21,8.97,16.48,-24.13,-1.31,-0.35
ADSK,37,23,14,62.2,-13.74,7.2,12.81,24.23,-38.28,-0.37,-0.08
AEE,35,24,11,68.6,-2.96,1.44,3.42,3.78,-14.67,-0.08,-0.08
AEP,32,20,12,62.5,-10.83,1.73,3.79,3.7,-12.91,-0.34,-0.24
AES,29,21,7,72.4,7.78,0.62,0.76,2.05,-1.61,0.27,1.47
AFL,36,27,8,75.0,15.52,1.39,2.76,4.32,-6.67,0.43,0.7
AIG,35,23,12,65.7,-1.71,1.47,2.96,3.96,-6.3,-0.05,-0.05
AIZ,31,24,7,77.4,34.16,3.34,6.56,8.9,-27.68,1.1,0.74
AKAM,35,24,11,68.6,6.91,2.46,4.74,8.25,-17.73,0.2,0.13
ALB,45,29,16,64.4,-4.47,5.8,10.79,34.42,-39.98,-0.1,-0.03
AJG,26,21,5,80.8,68.77,4.29,4.25,35.39,-17.34,2.65,3.23
ALGN,32,20,12,62.5,-110.79,12.5,30.06,86.49,-87.73,-3.46,-0.31
ALL,39,26,13,66.7,-40.49,2.77,8.65,8.34,-18.9,-1.04,-0.36
ALLE,28,19,9,67.9,47.88,4.25,3.65,17.57,-9.18,1.71,1.46
AMAT,36,32,4,88.9,117.59,4.37,5.56,23.02,-19.65,3.27,5.29
AME,33,25,8,75.8,33.27,2.54,3.77,8.22,-6.83,1.01,1.1
AMD,31,21,9,67.7,56.38,5.58,6.77,24.77,-25.28,1.82,0.93
AMCR,66,21,17,31.8,-5.47,1.26,1.88,5.05,-5.9,-0.08,-0.17
AMP,38,29,9,76.3,157.04,8.58,10.19,36.43,-24.71,4.13,1.71
AMGN,34,24,10,70.6,41.34,4.18,5.91,16.42,-17.04,1.22,0.7
AON,33,28,5,84.8,70.27,4.86,13.18,20.61,-46.55,2.13,1.07
AMT,29,19,10,65.5,9.01,5.42,9.39,21.39,-33.83,0.31,0.1
AMZN,40,27,13,67.5,21.4,4.31,7.31,17.13,-23.16,0.53,0.23
ANET,37,27,9,73.0,55.57,2.99,2.78,16.26,-6.89,1.5,2.22
APA,41,30,11,73.2,7.31,1.24,2.71,4.77,-5.78,0.18,0.24
AOS,44,27,17,61.4,-9.95,1.44,2.88,5.9,-5.95,-0.23,-0.2
APD,38,21,17,55.3,-148.19,3.9,13.53,16.06,-38.74,-3.9,-0.64
APO,33,21,12,63.6,2.26,2.62,4.4,8.07,-24.95,0.07,0.04
APH,39,26,11,66.7,10.26,0.67,0.66,3.76,-3.32,0.26,1.41
ARE,35,17,18,48.6,-28.76,3.37,4.78,12.98,-15.14,-0.82,-0.33
ATO,32,20,12,62.5,-8.62,2.07,4.16,5.05,-18.22,-0.27,-0.17
APTV,40,23,16,57.5,-47.5,3.77,8.39,12.67,-16.88,-1.19,-0.35
AWK,28,21,7,75.0,-0.24,2.65,8.0,6.26,-22.34,-0.01,-0.0
AVGO,38,30,8,78.9,93.34,3.98,3.27,37.58,-17.78,2.46,3.57
AVY,31,18,13,58.1,-37.48,4.44,9.03,12.57,-20.42,-1.21,-0.32
AXON,34,24,10,70.6,86.51,13.38,23.47,143.66,-109.47,2.54,0.37
AXP,37,26,11,70.3,97.24,5.78,4.81,17.12,-19.42,2.63,1.84
AZO,38,26,12,68.4,463.29,52.76,75.71,277.46,-262.36,12.19,0.51
BA,37,24,13,64.9,-15.9,6.92,14.01,23.04,-37.93,-0.43,-0.09
BAC,36,26,10,72.2,9.33,0.76,1.04,2.08,-2.59,0.26,0.9
BALL,32,22,10,68.8,-10.06,1.63,4.59,4.3,-12.97,-0.31,-0.22
BAX,25,20,5,80.0,1.36,1.14,4.3,3.46,-12.66,0.05,0.06
BBY,38,21,17,55.3,-81.15,2.01,7.26,4.77,-14.82,-2.14,-0.66
BDX,35,24,11,68.6,-20.35,3.22,8.87,10.42,-14.01,-0.58,-0.21
BG,32,19,13,59.4,10.22,2.89,3.44,7.81,-12.51,0.32,0.23
BEN,27,18,9,66.7,9.31,1.12,1.21,3.66,-3.07,0.34,0.86
BIIB,30,17,13,56.7,-173.22,9.31,25.5,22.25,-102.99,-5.77,-0.52
BLDR,32,22,10,68.8,2.83,3.93,8.35,18.55,-38.26,0.09,0.03
BKNG,40,26,14,65.0,13.51,2.7,4.05,8.0,-8.74,0.34,0.24
BKR,34,20,14,58.8,-17.22,1.43,3.27,8.23,-20.43,-0.51,-0.38
BLK,33,25,8,75.8,284.0,17.19,18.21,58.34,-56.05,8.61,1.95
CARR,19,10,9,52.6,-4.66,2.25,3.02,6.44,-5.2,-0.25,-0.17
BR,30,24,6,80.0,53.06,3.08,3.49,9.23,-8.56,1.77,2.53
BMY,30,21,9,70.0,6.13,1.71,3.32,4.87,-6.88,0.2,0.21
BRO,31,18,13,58.1,-37.38,0.98,4.23,3.82,-9.46,-1.21,-0.68
BXP,26,14,12,53.8,-14.47,3.49,5.28,14.63,-16.83,-0.56,-0.23
C,39,28,11,71.8,19.44,1.71,2.58,5.53,-9.66,0.5,0.68
BSX,24,16,8,66.7,-11.11,0.75,2.9,1.86,-7.32,-0.46,-0.48
BX,39,24,15,61.5,10.34,2.52,3.34,7.69,-15.18,0.27,0.21
CAG,29,22,7,75.9,12.56,0.9,1.04,1.9,-1.92,0.43,1.73
CAH,37,26,11,70.3,55.86,3.58,3.37,32.88,-6.95,1.51,1.51
CAT,37,25,12,67.6,82.07,7.49,8.77,25.87,-36.1,2.22,0.78
CB,33,23,10,69.7,43.99,4.63,6.26,14.77,-19.45,1.33,0.7
CEG,13,11,2,84.6,162.63,18.3,19.36,59.0,-35.87,12.51,4.2
CBOE,21,15,6,71.4,-1.4,2.7,6.98,5.28,-12.7,-0.07,-0.03
CBRE,33,22,11,66.7,33.37,2.55,2.08,7.83,-6.62,1.01,1.46
CCI,36,25,11,69.4,-20.25,2.75,8.09,8.03,-27.74,-0.56,-0.23
CCL,40,30,10,75.0,20.69,1.34,1.96,2.84,-6.64,0.52,1.06
CDNS,41,26,15,63.4,-110.57,4.74,15.58,17.98,-40.88,-2.7,-0.47
CDW,37,29,8,78.4,26.7,3.16,8.11,11.34,-15.25,0.72,0.41
CFG,28,22,6,78.6,22.67,1.31,1.04,3.49,-3.98,0.81,3.63
CF,37,25,12,67.6,-8.46,2.47,5.84,10.23,-16.68,-0.23,-0.12
CHD,32,24,8,75.0,13.32,2.03,4.42,5.11,-11.55,0.42,0.38
CHRW,31,21,10,67.7,-0.78,1.99,4.26,4.95,-14.72,-0.03,-0.02
CHTR,31,19,12,61.3,-128.65,11.04,28.2,26.18,-64.56,-4.15,-0.38
CI,35,15,20,42.9,-175.05,8.55,15.17,36.32,-63.9,-5.0,-0.58
